top_category_id,bottom_category_id,primary_color_id,secondary_color_id,product_id
8,959,1,1,509320630
8,12457,4,1,1152461140
8,956,17,17,1499599880
8,956,2,1,453393620
8,1044,9,7,1059984350
8,954,1,17,1623911870
8,956,12,12,511205160
8,956,1,17,908076790
8,6104,17,1,1380654630
8,2206,1,17,1479108940
8,1034,1,1,1292103660
8,2291,10,1,1285246590
8,2287,2,17,1496111130
8,1034,14,17,1475649900
8,1034,1,17,648134390
8,1034,9,17,1407770140
8,1034,1,1,974419410
8,12209,1,17,1005600890
8,913,12,12,1467734670
8,91,4,17,827035110
8,12209,2,17,1284338080
8,12209,11,17,1419884060
8,12109,17,17,1395801550
8,1339,12,12,1550078670
8,1945,18,1,1003486960
8,1633,4,4,1585367860
8,98,1,1,1225007180
8,88,1,17,1272878400
6,6440,17,17,1610823170
6,6440,17,17,1275788580
6,6440,0,17,1316140520
8,6440,17,17,703691630
6,6440,2,17,1038342890
8,6231,17,17,711842530
6,6440,17,17,1303895800
6,6440,17,17,1261126330
8,6440,17,17,1240153960
6,6440,3,17,1567709420
6,6440,1,17,1435151910
6,6440,1,17,1271523200
8,6440,4,4,1526533630
6,6440,17,17,881117590
8,1912,1,1,1585896890
8,1912,1,17,1291237890
8,1912,1,17,1291242750
8,1095,4,4,1044680700
8,781,16,3,1552457530
8,1912,17,17,1063832190
8,11351,2,17,1461032250
8,1867,17,17,1402823470
11,1371,1,1,938501380
11,1371,1,1,1589876460
11,1371,1,17,1169536330
11,1371,1,1,1408585460
9,1371,1,1,640382940
11,1386,2,17,220802570
11,1371,1,1,959858230
11,1371,1,1,1094899770
11,1386,17,1,881869800
11,1371,1,17,743909420
12,1520,2,1,1623890900
12,1518,1,1,1624052900
12,1518,1,1,1624053020
12,1520,17,0,1638415260
12,1518,4,17,725267480
12,1520,1,17,1163254110
12,1520,2,17,1596545020
12,1520,17,17,1332916070
12,1518,1,1,1624053180
12,1490,17,17,882894490
12,1520,19,11,1331224560
12,1490,1,17,1641840580
5,1534,12,12,1284529650
12,1474,1,17,1454139710
12,1448,3,3,510770820
12,1448,14,17,1300563000
12,1509,1,17,1055374760
12,1509,14,17,1458242840
12,1494,9,17,1372689110
12,1509,2,17,590804360
12,1509,1,17,1633003060
8,6976,17,17,1202902390
6,6976,1,17,837886430
6,6976,17,17,1642583080
6,6976,17,19,1606624550
6,6976,1,17,871170850
6,6976,14,17,1566139570
6,285,1,1,1326611270
6,6976,4,1,1357610590
6,6976,4,1,1558852050
6,6808,1,1,1525965930
0,1639,5,5,570497290
0,43,12,12,522779280
0,219,1,1,222051920
5,2906,14,17,97725060
14,1641,17,17,503366510
8,7020,5,5,613114780
3,231,2,17,671514280
0,220,2,17,929555920
0,220,2,17,880193790
0,219,17,17,668255250
0,12181,17,1,115115550
8,220,11,19,1067694370
0,1761,12,12,568380130
0,2114,4,1,1317334880
0,2906,5,17,1476104350
5,329,2,1,1513504690
10,1875,14,17,1588047670
11,329,17,17,1501304930
10,329,1,17,619544800
6,6839,1,17,504356800
4,329,1,17,1406284240
5,329,16,16,1259612400
10,12427,9,17,587002450
8,6070,14,17,1565855560
4,329,1,17,1598365430
4,329,17,17,637187870
8,1947,1,17,694957890
8,2297,12,17,744832910
8,1039,1,1,1572806010
8,2321,10,1,570117180
8,1947,1,1,1170998420
8,1946,1,1,713328380
8,2286,1,1,1484494690
5,40,1,17,1222900450
0,40,17,17,1164736420
8,39,17,17,513765420
8,40,19,13,1533807210
0,40,17,17,1055283880
6,40,4,4,1426784010
5,40,16,16,1073012030
0,40,17,17,1171884580
5,1019,2,1,766115280
6,40,1,17,1594853310
0,6810,16,16,615777350
6,6659,14,17,1584475970
6,6659,2,1,1170010410
6,6659,1,17,1443189040
8,6659,1,1,1168282450
6,6659,1,17,1556809680
6,6659,9,17,1416981720
6,6659,1,17,1602879950
6,6659,18,17,1645915470
6,6659,1,17,1653419920
6,6659,2,17,1110484440
8,6657,1,1,637783240
6,6659,2,17,1602923660
6,6659,1,17,1589849010
6,6758,1,1,272635140
6,6758,1,1,1624596870
6,6758,1,1,568141310
1,113,0,4,1596117460
6,6758,1,1,265602230
6,6758,1,1,1624638510
1,113,1,19,1403669050
6,6548,1,17,760642000
6,6312,1,17,1019666880
6,6548,10,10,1015247010
5,6548,2,1,1272068100
6,2043,17,17,968931490
6,2898,2,17,574770950
6,6548,4,4,1272203900
8,6312,16,17,1073638590
6,6548,1,17,784878360
6,6548,1,1,990037100
6,6548,12,3,923353370
10,2177,2,17,1398036840
10,1285,14,17,1558668750
14,11257,12,12,666879080
10,1327,1,17,1543223020
10,1281,2,17,582070340
10,1261,16,16,1568849930
10,1261,19,13,1494443720
6,9119,4,4,716615480
6,9186,1,17,1313728150
6,9119,18,17,1225107430
6,6350,1,16,559047430
6,9186,5,5,1092377290
6,9119,17,13,1465390830
8,9119,12,12,987170240
6,2667,12,12,658707140
6,9119,4,4,714114630
8,11274,17,17,1505256050
8,11274,1,17,990114790
8,11274,1,17,215203320
8,11274,16,17,969582090
8,1070,1,1,1560940300
8,11274,14,1,1327397950
8,11274,9,9,1634982690
8,11274,9,9,981976450
8,11274,1,1,1357116750
8,11274,4,5,699975790
8,1070,2,17,1560282250
14,11274,1,1,1284802060
8,11274,4,5,1061041700
14,11274,1,1,879767880
8,11274,4,4,1334738270
8,11274,1,1,843954270
8,11274,16,13,1019912000
14,1668,9,9,1522483190
8,1070,1,1,1301074040
5,472,12,12,1595018510
5,472,17,17,1647845650
5,538,1,1,651505700
5,46,19,13,1165214820
5,11163,4,4,630127140
5,472,4,17,1446811450
5,472,17,17,1636625490
5,453,2,17,775376830
6,6429,17,17,1543454210
6,6429,5,19,659165240
6,6429,11,17,593058970
6,6429,12,12,1648830570
6,6843,17,17,1582074810
6,6429,12,12,1147947670
6,6429,11,19,1087585530
6,1995,1,19,970421370
6,6429,1,1,553432090
6,6429,1,17,1417992790
6,6429,1,17,997607840
6,6429,17,17,1536229100
6,6429,5,1,1281540190
8,6627,1,17,963784270
8,6627,4,1,1609519760
8,6627,16,17,965545450
8,6627,1,1,1539754410
8,6627,16,16,1594087050
10,6592,4,4,216118620
8,6627,14,17,1085251340
8,6868,1,17,1202774230
8,2849,1,17,1562416290
8,6878,1,17,896722130
8,6348,19,17,1452750010
8,6878,2,1,623533020
8,1023,17,17,1565528900
8,1121,16,16,1213715330
8,6060,17,17,1633720050
8,1936,4,4,711876810
8,1936,2,17,384538670
8,1936,17,17,1235477470
8,1936,1,17,1387184440
8,1936,1,17,498473720
8,1936,9,1,823934520
8,1936,9,4,1335997040
8,1936,1,17,773655970
8,1072,14,1,961201520
0,6114,0,17,980761970
0,6114,5,5,484048170
0,221,1,1,1263003790
8,6114,1,17,889284030
8,959,1,17,618499060
8,959,1,17,1327845440
8,959,1,17,1266179330
8,2176,14,1,921941510
8,2176,4,17,1105777190
8,959,17,17,975359210
8,959,1,17,759769050
8,2176,16,4,1320454280
8,959,1,17,648209050
8,959,4,1,793654720
8,1861,16,16,1374474080
8,1062,4,4,1197973600
8,11275,4,1,1574556260
8,1071,12,12,1353503670
8,11275,1,17,1621267140
8,11275,17,9,769682350
8,11275,1,17,1625295420
8,11275,1,17,719954880
8,1988,1,2,1410780360
8,1028,4,4,504850270
8,1986,1,1,695816800
8,1986,14,1,1041496360
8,1988,4,4,387311890
8,1988,1,17,1644946830
1,6589,14,4,970275210
0,12417,1,17,1530122890
0,12417,4,4,1492329640
0,12417,13,13,1363572090
8,12458,4,1,772419520
8,1053,14,14,1594834590
8,6059,4,17,1512923530
8,1909,10,10,1078927970
8,2537,1,17,1576533180
8,2639,1,1,1537414000
8,1053,1,1,1533490410
8,2850,4,4,582105960
8,6503,12,12,1256200900
8,12458,3,11,1057415560
8,1038,4,4,1368695880
8,1053,1,1,1328627830
8,1046,2,17,568942960
8,1038,1,17,666771090
5,12201,1,0,1254009180
5,12201,9,17,1353334090
5,12200,1,17,750878910
5,12201,0,17,1143913990
5,12201,1,1,1621442710
5,12201,1,1,1253942260
5,12201,1,9,1395316120
5,12201,1,17,1231268270
5,12201,1,17,1253972160
5,12201,1,1,1651997060
5,12201,0,17,1440801380
8,12232,1,1,1408802660
8,12232,16,16,804373840
8,12232,1,1,1304977010
8,12232,1,17,1606828680
8,12232,9,17,1216777840
8,12232,1,1,964998100
8,12232,1,1,1642817530
8,12232,1,1,1620390990
8,12232,16,16,1581660690
8,12232,1,17,1256728340
8,12232,4,17,1619129550
8,6053,4,4,1591213180
8,6053,17,1,1653078240
8,6053,14,14,1450710470
8,6053,12,12,1312490000
8,6054,12,12,1453633210
8,6054,12,12,1454883000
8,6053,4,17,1650922430
8,6054,4,1,1481903760
8,6054,12,12,1583265750
3,317,2,5,250670160
3,296,2,17,505948960
3,302,1,17,911079500
3,262,2,17,1436500040
3,292,1,1,999638810
3,292,17,17,1012930900
3,315,2,17,507105990
3,292,17,17,1251666740
6,9124,1,1,792075590
3,292,1,1,472477500
5,462,1,17,1554307570
5,462,1,17,1489651720
5,462,5,5,1579016720
5,462,3,17,1598917380
5,462,9,17,726706860
5,462,0,17,1063994310
5,1827,4,4,806190790
5,461,1,1,1437303510
5,462,17,17,1644906500
8,2785,1,1,1553060370
8,2811,1,1,1526949820
8,2785,16,1,547596060
8,2785,1,1,823545140
8,2785,14,1,1207724510
8,2785,1,1,1472861130
8,6432,4,1,1493198910
9,1191,1,17,1476989260
8,1224,4,17,1398261900
9,1681,2,17,1582430570
9,12167,1,17,1481877710
9,1222,2,17,1113167960
9,1182,2,17,1239822410
9,12167,2,17,1550777680
9,12166,2,17,1480839940
9,11272,16,14,1267169740
9,12167,1,1,1012553180
9,12167,17,17,1504477730
9,1191,16,16,1499539220
5,2117,1,17,832639880
5,12246,1,1,1532964750
5,12246,4,4,1136368280
5,1825,11,17,827024380
5,12246,4,4,1579159030
5,12246,1,1,1136375490
5,12246,4,4,1444394380
5,12246,1,1,1400138300
14,2117,4,1,934034840
5,12246,14,1,1254770650
5,12246,1,1,1530003780
14,2117,9,9,1469332980
5,12246,1,1,1646838650
5,12246,1,1,1646126850
5,12246,1,1,674011600
5,12246,1,1,1547762780
5,12246,4,4,1445066130
13,1062,12,12,1541078700
13,1576,12,12,1033358420
13,1062,12,12,1541079200
5,435,12,12,1538395920
8,2844,16,16,1510122840
8,6313,17,17,960550530
5,435,12,12,1540114420
13,1576,12,12,1539018210
13,1576,12,12,1538340670
13,1576,12,12,1538359090
13,1576,12,12,1538328700
10,1294,16,16,1470128130
11,1415,2,17,1590438830
11,1415,17,17,971011880
11,1412,18,14,1385058180
11,11286,1,19,1537416300
11,1415,4,17,1583825560
11,1412,1,1,1472933230
8,1390,1,17,890742860
11,1415,17,17,1577384750
5,46,19,13,1468300840
8,1391,9,17,151097750
11,1415,9,17,1495242570
5,46,19,13,817051970
12,1439,4,17,1451898820
12,1505,16,16,645401400
12,1439,17,17,1262754790
12,1477,1,1,1625495050
12,1450,19,14,1610609870
12,1431,4,17,601767890
12,1439,4,17,1455304040
12,1499,17,17,1420979270
12,1511,2,17,809691700
12,1450,1,17,650364380
12,1462,1,17,1652989660
12,1462,14,17,1613383570
12,1516,1,17,993133030
12,1462,14,9,1618031770
12,2820,16,1,1545980600
12,1463,17,17,1603311930
12,1462,14,17,1468855730
12,1462,17,17,1369219630
12,1462,17,12,1463243280
12,1459,17,17,1488395830
12,1462,17,19,1166686010
12,1516,14,17,1069987360
12,1462,16,1,1571203850
12,1462,1,19,1562971920
12,1462,1,17,783596450
12,1462,17,17,1548244740
12,1462,15,17,1267626180
12,1462,4,17,701935440
12,1462,1,17,918551960
12,1518,17,17,1222175410
10,1264,1,17,830412720
10,1264,4,17,1637081680
10,1279,19,13,1582294270
10,1264,14,1,1025112720
10,1264,13,13,1525777220
10,1272,1,17,1584320970
10,1284,1,17,1156082840
10,1264,0,4,810037560
10,1264,14,17,1147867900
10,1264,19,17,950228840
10,1264,1,17,1647505410
10,1264,1,1,1150052000
10,1264,0,17,1404518200
8,321,17,1,1244338870
3,321,1,17,1648201250
3,321,1,1,1481713370
8,321,2,1,1401420090
3,321,1,17,1241864870
3,321,2,2,1315351770
3,321,9,17,1297902710
3,321,1,17,1619271500
8,320,17,1,866046700
0,1834,13,1,1595055530
8,862,1,17,687992500
3,321,19,19,1619167800
3,12332,1,17,1381242160
8,321,1,1,1601512780
8,2298,2,17,1579164560
8,2298,2,1,1465518770
8,1947,14,1,1335074200
8,2298,1,1,1181775830
8,2287,16,17,1058191550
8,1036,10,17,1476972240
8,2298,16,16,957635960
8,2287,7,16,1514490200
8,2298,1,1,1568799820
8,2287,2,17,1463146110
9,1210,2,1,1417661280
9,1210,17,1,1344069810
9,12185,9,1,1544237570
9,1210,1,1,1641288470
9,1210,1,1,1540644470
9,1210,1,1,1124365730
9,1210,5,17,1382540600
9,1210,2,17,1007502640
5,2186,1,1,721040350
5,11239,17,7,1491977070
5,11241,1,17,1384287640
5,11239,19,7,1641961580
5,11239,2,7,924672770
5,11239,1,17,1610940760
5,11239,1,7,1641501700
5,11241,17,2,1466493880
5,11241,3,1,942360010
5,406,16,1,1223262110
5,11151,1,1,1156652990
5,11239,1,7,1481507100
5,11244,1,17,1403592640
6,6283,2,1,1022391650
6,6282,1,1,684098900
6,6767,2,1,1506682030
9,2900,2,17,785072960
6,6285,2,17,579201210
6,6470,1,17,63093870
6,6767,2,1,1507414550
6,6470,2,17,227753120
6,6473,1,1,586573630
6,6281,2,1,1562144400
8,2054,14,17,628095800
13,2397,1,17,715295840
13,2054,1,1,656386960
13,2054,10,17,1604483780
13,208,1,17,1289700180
8,6060,1,17,1403917630
8,1011,1,17,1535295010
8,1011,17,1,1179739480
8,2786,1,17,1472866320
8,2786,1,17,1001966420
8,2793,17,17,840064630
8,1003,17,17,1146041640
8,2786,0,17,1147194740
8,2786,17,17,1293347980
8,2922,1,1,1576533500
8,2921,4,4,763301650
10,2921,1,17,1571523070
8,933,17,17,881546600
8,2921,1,1,720964170
8,2921,1,1,1577388240
8,2922,1,17,1454726880
8,12243,1,1,1068332850
8,1098,6,6,1186615210
8,1098,17,17,1417582910
8,1098,16,16,122189330
8,1098,1,17,1487124720
8,1175,17,17,617359380
5,404,4,1,1210390610
5,11241,1,1,1522238880
5,404,1,17,1220158990
5,404,1,17,1527664030
5,404,17,1,1241876620
5,2189,17,7,254860080
5,404,1,1,1419660890
5,404,14,1,812548280
5,494,2,17,1100240890
12,73,1,17,828142630
13,2368,1,1,1331840550
8,2368,4,17,1473273670
8,1561,17,17,1617160270
13,2368,17,1,1324927880
13,2368,17,0,746280350
8,1561,16,16,1571929790
6,6074,12,12,1144946510
10,2368,14,17,1501709140
13,1561,17,17,1511080350
13,2368,1,1,1380162200
8,1661,4,4,1052721100
8,6093,19,19,238132810
14,1661,17,17,1643653710
14,2787,19,19,1562805210
8,1010,17,17,1270157240
8,2212,17,17,1336640300
14,6093,14,17,1579415230
8,1661,1,17,896960340
10,12486,16,16,1082528840
10,769,1,17,1425900680
10,769,1,17,1602249130
10,769,12,12,1648724820
10,769,17,1,1208545300
10,769,12,12,1552061170
10,769,14,17,1157141830
0,64,1,1,1573705940
0,64,12,12,1173247510
0,59,19,7,1587688700
8,64,17,17,1568508290
0,64,10,4,580996830
0,62,17,17,1563742220
0,64,11,17,1526475950
0,64,14,14,690687290
0,64,14,14,1544301130
0,64,5,0,1561503970
14,11259,17,17,1519714570
0,64,0,17,1598797590
0,64,11,1,1653279050
0,2533,17,17,921676530
0,38,12,12,1386961660
0,38,1,1,653270550
0,38,1,1,1361397570
5,6080,1,17,535192460
0,38,17,1,1582922480
0,38,19,19,1369214720
0,38,2,17,150739010
5,38,1,17,1408388500
5,2540,19,13,1242939650
0,38,1,17,804526560
0,38,4,4,1149906550
1,75,1,17,1644755230
8,6577,19,13,663667140
1,119,17,17,539356220
1,2638,4,4,500503930
10,1265,1,17,276802880
6,75,9,2,1064156430
1,124,9,14,822189850
6,6844,14,17,1653769920
1,2809,1,1,569989580
8,6087,1,18,577602590
10,2078,1,17,1230144590
8,1044,3,1,1305791780
8,1940,4,4,974880490
8,1941,17,1,1162389850
8,1941,1,5,1615361350
8,1941,16,1,1643058570
8,1941,17,1,1014918690
8,1941,1,17,1160544720
8,1044,2,14,1653448350
6,6807,10,1,1447629680
6,6808,9,1,1566783400
6,6807,17,17,1578608670
6,7061,2,1,713593450
6,6807,2,1,1447626090
6,6808,17,1,1577256340
6,6807,10,1,1637369520
6,6807,10,10,1600186720
6,6807,17,17,1577931500
6,6808,17,1,1322962080
5,2826,2,17,1315562590
5,2826,14,17,1438232540
5,470,14,17,1570115310
5,470,1,17,1256143170
5,470,16,16,1639679380
5,508,1,2,1615109370
5,470,14,17,1550408900
8,1201,2,17,1502405760
9,12228,4,4,1431509420
9,12228,19,13,1378833980
9,1682,1,1,1373576720
9,12228,17,13,1421528310
9,12228,1,1,1407661580
9,12228,1,1,1066804960
9,1229,2,17,1107015070
8,1794,1,1,677197190
13,1794,14,17,1562226400
13,1794,17,17,763221040
13,1794,17,17,1058626950
13,1794,17,9,595722880
13,1794,1,16,1170285320
5,1613,17,4,1579757260
13,1794,17,1,1436416340
13,1794,2,17,748895230
8,1794,1,1,1606961610
8,1581,16,16,958464860
14,1666,1,17,1406432960
8,6854,2,1,729515390
10,6855,14,9,792482610
10,6854,14,2,940147100
10,6854,16,1,1462382220
8,6854,17,18,476661950
10,6854,17,17,1067633810
10,6854,14,17,624075550
8,1071,1,17,1494359670
10,1309,19,17,670948770
10,1309,12,12,611455690
10,1309,12,12,611928800
10,1309,17,5,1199368920
10,12479,16,16,851228990
10,12484,12,16,1572908730
10,1309,1,17,256248500
10,1309,4,17,1351862120
6,9182,1,1,1514098350
6,9182,9,17,665886330
6,9182,1,1,1514081350
6,9182,9,17,850413020
6,9182,14,17,874278250
6,9182,1,1,1514081080
6,6970,1,1,637699980
8,6072,2,1,1163277960
6,6970,1,1,1535407860
8,6970,1,17,730386370
8,6317,12,12,1132423120
8,6970,2,17,1209787970
8,2297,1,1,1581020090
6,6687,17,1,1642310510
8,6970,7,7,577566550
8,6970,17,17,1209789470
6,6242,1,17,754373900
6,6444,2,17,1317319390
6,6772,0,17,1244454930
6,9205,2,14,1227219150
8,2298,1,17,1446233310
8,2321,10,17,1618057150
8,2286,17,17,1598894650
8,1946,16,1,1136006580
8,2298,1,17,895828520
8,1946,17,17,1401599900
8,2286,1,17,1547118370
8,1946,1,17,1554174250
8,2286,17,1,1633185090
8,2288,4,4,936153660
8,2298,2,17,1454562150
8,6070,2,1,1547978010
8,2297,17,1,1450060010
10,6607,17,1,617140960
10,6607,1,1,617141060
10,6607,1,17,1588090860
10,6607,4,1,617141440
5,46,19,13,614375540
10,6853,1,1,646226180
5,1830,1,17,1627307370
5,533,1,17,1309828820
5,533,1,17,1650531750
5,441,1,1,1577498160
5,527,0,17,1249214130
5,533,1,1,1584160270
5,533,2,17,1605548080
5,533,17,1,1421356660
5,1839,1,17,1331679940
5,506,1,17,1528376180
5,555,12,12,1641434860
5,556,4,17,1188819560
5,556,17,17,1267641100
5,501,12,12,1607052970
5,517,1,7,1525748840
8,2845,16,16,1504550810
8,6505,16,16,1598131110
8,11315,4,1,1320717500
8,6084,1,1,274571750
8,2309,10,17,1442637860
8,2848,1,17,968919530
8,6823,16,16,708190470
7,6550,16,1,506924780
1,2848,9,17,1602387220
8,2848,17,17,1085980660
1,2848,1,1,1316907900
0,2906,1,17,1255287160
0,7020,5,17,1606248960
0,1639,5,5,1158127030
0,224,5,5,1586048900
8,224,5,5,1632175830
0,2906,14,17,707463620
0,1761,5,5,1319184100
0,220,5,1,1195319230
5,4,1,1,512396310
12,4,1,17,773408720
5,6917,1,17,676953920
5,4,1,1,1398605690
5,11134,17,5,831925110
0,4,1,1,1210137560
5,4,1,1,115035140
5,4,17,17,1186919100
0,4,4,1,1430223890
11,1400,1,1,1243684430
11,1400,17,1,1470929700
11,1399,4,16,792481720
8,1400,1,16,1571447480
11,1399,1,1,1523235170
11,1399,4,1,1643609210
3,297,1,17,1625056870
3,296,1,17,1314997610
3,302,17,17,1352790860
3,302,14,17,1584075400
3,302,1,1,1010684940
3,302,17,1,499839680
3,302,1,17,1540289890
3,320,2,17,758706690
8,6082,17,17,1647471720
8,6082,1,17,1370274150
8,6082,1,17,1567343030
8,6082,1,17,1431286900
8,6082,1,17,1578036960
8,6082,1,17,1517462980
8,6082,1,17,1601643950
8,12461,1,17,1636294800
8,6082,1,17,1632736130
8,6082,1,17,1220396260
8,6082,12,17,714147990
8,6082,1,17,1644419990
6,1259,19,13,1471444670
6,6306,0,1,505416260
6,6306,0,1,505572080
6,1259,1,17,1415936030
6,1259,17,17,278165710
6,1259,1,17,998356570
6,1259,16,16,1118521250
6,6534,1,17,1279537070
6,6306,1,1,653173590
6,6306,0,1,701054480
6,6306,0,17,700590230
6,6306,0,1,556419660
6,1859,17,9,1553491620
13,6072,5,5,1244454000
13,2369,1,1,1599055020
13,6072,1,17,1556722850
13,6072,17,17,1161726320
13,6072,1,16,1161714660
13,6072,5,5,1513243390
5,6072,5,5,1113579280
8,6072,1,1,652276120
8,6072,17,1,1583538320
13,6072,17,1,1573454150
13,1533,19,13,1516951720
3,273,1,1,1483800290
3,1149,4,1,1206689950
3,256,1,1,517089650
3,320,18,17,731557990
3,2091,2,17,1517505780
3,292,1,1,1432747010
3,302,12,1,1601210280
3,303,2,17,621311560
3,2091,19,19,1083711950
3,256,2,17,595460410
3,303,1,1,1609765570
3,303,1,1,628199650
3,292,2,1,1381478220
9,1223,17,1,1091169180
9,1224,17,17,1242135580
9,1229,17,17,1446419770
9,1224,1,1,1313500190
9,6280,1,17,939566200
9,1225,4,4,1146979900
8,1158,4,16,1608113980
5,1180,9,17,1282779430
8,2911,2,14,1232960390
8,1020,12,17,1212169330
6,2078,19,12,1121964780
8,2911,1,1,1458423630
8,6861,16,16,893380700
8,11261,2,17,1461240180
8,1155,9,10,1571210520
9,1781,4,4,1099635470
5,52,9,9,111304650
0,52,9,9,1050426750
0,57,1,17,1574920360
0,52,1,17,1555449960
14,52,2,17,1467988520
8,1781,14,17,746355980
14,1781,14,17,1549317180
8,1963,17,1,971268730
8,1963,11,1,807329860
8,1150,4,17,616408350
5,12172,2,1,1436256320
8,1150,14,1,1595813850
6,6800,17,17,1272919740
8,1963,9,9,849486860
8,1963,1,19,1580294640
8,12172,19,2,1592812280
8,1963,9,9,940311980
8,408,17,13,1266716640
8,1150,4,17,616412720
8,1150,1,1,1422760080
8,1150,4,17,616412330
5,11165,1,16,1394067210
5,11144,12,9,1633366990
5,555,19,5,1208481730
5,559,17,17,1112937850
6,12394,12,12,1275332100
5,479,12,12,1281512930
5,11165,1,17,1380603100
5,11137,4,4,969556320
5,380,10,1,1482758290
5,380,4,4,1066307310
5,380,2,17,1081199010
5,6091,17,1,1429623510
5,380,12,12,732849510
5,2186,2,17,580945380
5,6091,1,1,1423458130
5,379,2,14,546849620
5,2132,16,16,1073576120
5,2125,7,7,1118189900
5,380,2,17,1344725950
5,2186,1,10,955253160
3,262,4,17,1360223800
3,262,14,1,980337660
3,258,13,13,1163182330
3,300,1,17,1263886560
3,308,1,17,275929520
3,300,17,1,106015060
3,302,4,17,1278439830
3,12437,18,1,755226770
6,2057,17,1,985437320
8,2910,17,14,828835420
13,2057,17,17,1356596890
13,1022,1,17,1034162430
13,208,2,17,694160370
5,2910,1,10,1314149160
13,1022,4,17,1453175200
13,2057,1,1,1449042220
13,2057,1,17,1211248840
6,6288,2,1,819515220
6,6288,2,17,1567729640
6,9323,1,13,641161680
6,6288,2,1,752690030
6,6288,1,1,789382230
6,6288,2,17,484847120
6,6288,1,17,649934530
6,6288,1,1,564783610
6,6288,16,16,252140880
6,6288,2,17,1414229530
8,1457,1,1,1506841220
8,1457,1,1,858255670
12,1457,10,17,1340619850
8,1457,12,12,1388293960
12,1457,4,1,1032666150
12,1457,1,1,1647187770
12,1457,17,17,527981730
12,1457,1,1,882239370
12,1457,10,17,1340606730
12,1457,1,1,1510552520
12,1457,10,1,1341502390
12,1457,10,17,1386559670
12,1176,1,17,1149189230
4,349,1,1,1447444230
4,352,17,17,1511770510
4,349,11,17,1299647760
4,2011,2,17,1329849900
4,349,17,17,1456945410
10,2853,1,17,1183595450
4,349,12,12,1462020190
4,349,1,10,1608132520
4,349,1,1,1589545130
4,2008,2,13,715183100
8,11556,1,1,1196312420
8,11556,16,16,1432856400
8,11556,1,17,686694730
8,11556,17,1,1031828060
8,11556,17,17,222504840
8,11556,17,17,769896110
8,11556,17,17,1191856170
8,11556,17,17,228010030
8,11556,17,17,1637835460
8,11556,1,17,980144970
8,11556,17,1,1513084090
3,199,1,1,1529008330
3,262,1,1,738051360
3,1992,9,4,617507000
3,199,1,1,1471070320
3,265,1,17,577885840
